idx	source	text
14	gemini	वह अकेला था और ठंड से थर-थर-थर काँप रहा था। उसकी गोल-गोल आँखें बहुत उदास थीं। छोटा पिल्ला, प्यारा पिल्ला!
15	gemini	तभी घर के अंदर से टीवी की आवाज़ आई। टन-टना-टन! सुपर शेरू आ गया!
16	gemini	पिल्ले ने आरव की तरफ़ देखा और फिर से धीरे से बोला, "कीं... कीं..."।
17	gemini	आरव ने उस छोटे से पिल्ले को देखा और फिर अपने घर के दरवाज़े को। छोटा पिल्ला, प्यारा पिल्ला!
18	gemini	तो अब तुम बताओ, क्या आरव उस काँपते हुए छोटे से पिल्ले की मदद करेगा?
19	gemini	बहादुर चुनमुन चुनमुन के गाँव की नदी एकदम सूख गई। मछलियाँ उदास, चिड़ियाँ प्यासी। सब लोग बहुत परेशान थे।
20	gemini	एक दिन, नन्हे से चुनमुन ने हिम्मत की। वो बोला, "मैं पानी लाऊँगा!" वो अकेले ही ऊँचे, पथरीले पहाड़ पर चढ़ने लगा।
21	gemini	रास्ता बहुत कठिन था। उसका पैर फिसला और वो धम्म से गिरा! पर वो रोया नहीं। वो उठा और फिर चल पड़ा।
22	gemini	वो चलता गया, चलता गया! पहाड़ की चोटी पर उसने देखा—एक बड़े से पत्थर ने पानी का सोता रोक रखा था।
23	gemini	चुनमुन ने अपनी पूरी ताकत लगाई। हम्म्म्म! उसने पत्थर को ज़ोर से धक्का दिया, और धक्का दिया! पत्थर थोड़ा सा हिला... फिर लुढ़का...
24	gemini	और धड़ाम! नीचे गिर गया। सोते से पानी निकला, सररर...पानी बहकर नदी में पहुँच गया।
25	gemini	गाँव में सब लोग चुनमुन को देखकर बहुत खुश हुए और सब खुशी-खुशी नाचने लगे
26	gemini	मेरे प्यारे बच्चो, आज मैं आपको एक चालाक लोमड़ी और एक भोले कौए की मज़ेदार कहानी सुनाने जा रहा हूँ।
27	gemini	एक दिन एक कौए को रोटी का एक टुकड़ा मिला। वह उसे लेकर पेड़ की ऊँची डाल पर बैठ गया।
28	gemini	उसी समय एक भूखी लोमड़ी वहाँ आई। उसने कौए की चोंच में रोटी देखी और उसे पाने की एक चाल चली।
29	gemini	लोमड़ी मीठी आवाज़ में बोली, "कौए भैया, आपकी आवाज़ तो बहुत सुरीली होगी।
30	gemini	ज़रा एक प्यारा सा गाना सुनाइए ना!" कौआ यह सुनकर बहुत खुश हुआ। वह मन ही मन बोला, "वाह!
31	gemini	मेरी इतनी तारीफ़!" और ज़ोर से गाने लगा, "काँव... काँव... काँव..." जैसे ही कौए ने चोंच खोली, रोटी नीचे गिर गई।
32	gemini	लोमड़ी तुरंत रोटी उठाकर हँसने लगी, "हा हा हा! धन्यवाद, कौए भैया!" कौए को अपनी गलती का एहसास हुआ।
33	gemini	उसने सोचा, "मुझे झूठी तारीफ़ पर कभी भरोसा नहीं करना चाहिए।" बच्चो, इस कहानी से हमें सीख मिलती है कि मीठी-मीठी बातों में आकर कभी भी अपना नुकसान नहीं करना चाहिए।
34	gemini	एक दिन एक भूखी लोमड़ी जंगल में घूम रही थी। उसे बेल पर लगे मीठे अंगूर दिखाई दिए। उसने ऊँची छलाँग लगाई।
35	gemini	लेकिन अंगूर उसके हाथ नहीं आए। उसने फिर कोशिश की। फिर भी वह सफल नहीं हुई। थककर वह नीचे बैठ गई।
36	gemini	वह बोली, "ये अंगूर तो खट्टे ही होंगे।" इतना कहकर वह वहाँ से चली गई।
37	gemini	सीख: जो चीज़ नहीं मिलती, उसकी बुराई नहीं करनी चाहिए।
38	gemini	समुद्र की लहरें किनारे से टकराकर 'छप-छप' शोर कर रही थीं और हवा में नमक की सोंधी खुशबू थी।
39	gemini	श्लोक अपनी पुरानी लकड़ी की नाव पर सवार होकर गहरे नीले पानी की सैर पर निकला था।
40	gemini	लहरें बहुत ऊंची थीं और नाव तेजी से ऊपर-नीचे हो रही थी। तभी श्लोक के साथ उसकी छोटी बहन रिया भी वहां आई।
41	gemini	रिया ने देखा कि दूर एक छोटा सा टापू दिख रहा है जहां बहुत सारे रंगीन पत्थर चमक रहे हैं।
42	gemini	रिया ने उत्साह से कहा कि उन्हें नाव घुमाकर उस टापू की ओर जाना चाहिए और वहां की खोज करनी चाहिए।
43	gemini	श्लोक ने दूर देखा, वहां का रास्ता थोड़ा कठिन लग रहा था पर रोमांच भी था।
44	gemini	क्या श्लोक को रिया की इस बात पर सहमत होकर उस टापू की ओर जाना चाहिए?
45	gemini	श्लोक ने खुशी-खुशी अपनी नाव को उस टापू की तरफ मोड़ दिया।
46	gemini	लहरें फिर से 'छप-छप' शोर करने लगीं और ठंडी हवाएं श्लोक और रिया के चेहरे को छू रही थीं।
47	gemini	जैसे ही नाव टापू के किनारे रुकी, श्लोक ने देखा कि वहां की रेत एकदम सफेद और मुलायम थी।
48	gemini	दोनों भाई-बहन दौड़कर किनारे पर पहुंचे। श्लोक के पास खाने के लिए कुछ मीठे आम थे, जो उसने अपनी यात्रा के लिए रखे थे।
49	gemini	रिया ने आमों की खुशबू सूंघा और उसकी आंखों में चमक आ गई। श्लोक ने देखा कि रिया बहुत भूखी लग रही है।
50	gemini	क्या श्लोक अपने मीठे आम रिया के साथ बांटेगा? श्लोक ने मुस्कुराते हुए अपने मीठे आम रिया के साथ बांटे।
51	gemini	आम बहुत रसीले थे और दोनों ने मिलकर मजे से उन्हें खाया।
52	gemini	जैसे ही उन्होंने आम खत्म किए, श्लोक की नजर रेत पर एक अजीब सी चीज पर पड़ी।
53	gemini	वहां एक बड़ा सा शंख आधा दबा हुआ था।
54	gemini	जब श्लोक ने उस शंख को उठाया और अपने कान के पास लगाया, तो उसे समुद्र की लहरों की 'छप-छप' आवाज के साथ-साथ किसी के गाने की धीमी आवाज सुनाई दी।
55	gemini	ऐसा लग रहा था जैसे वह गाना श्लोक को टापू के अंदर घने पेड़ों की ओर बुला रहा हो।
56	gemini	क्या श्लोक उस गाने का पीछा करते हुए टापू के अंदर जाएगा? श्लोक और रिया धीरे-धीरे घने पेड़ों की ओर बढ़ने लगे।
57	gemini	चारों तरफ हरे-भरे पत्ते थे और हवा में वही नमक की सोंधी खुशबू घुली हुई थी।
58	gemini	चलते-चलते श्लोक को फिर से वही 'छप-छप' आवाज सुनाई दी, जैसे कोई पानी में खेल रहा हो।
59	gemini	तभी उन्होंने देखा कि आगे का रास्ता बहुत संकरा है और वहां बड़े-बड़े पत्थर पड़े हुए हैं।
60	gemini	रिया ने कहा कि वे पत्थरों के ऊपर से कूदकर जल्दी वहां पहुँच सकते हैं, लेकिन श्लोक ने देखा कि पत्थरों के नीचे से एक लंबा और साफ रास्ता भी जा रहा है।
61	gemini	रास्ता लंबा था और उसमें मेहनत ज्यादा थी, पर वह सुरक्षित लग रहा था।
62	gemini	श्लोक अपनी बहन का हाथ पकड़कर खड़ा हो गया और सोचने लगा। क्या श्लोक आसान रास्ते के बजाय लंबा और कठिन रास्ता चुनेगा?
63	gemini	श्लोक ने सोचा कि जल्दी पहुँचना ज्यादा बेहतर है, इसलिए उसने और रिया ने पत्थरों के ऊपर से कूदकर जाना शुरू किया।
64	gemini	पत्थर थोड़े गीले थे और उन पर फिसलने का डर था।
65	gemini	तभी अचानक रिया का पैर फिसला और वह जोर से चिल्लाई, जिससे श्लोक घबरा गया।
66	gemini	श्लोक ने तेजी से हाथ बढ़ाकर रिया को संभाल लिया, लेकिन इसी हड़बड़ड़ाहट में श्लोक का हाथ रिया के हाथ पर जोर से लग गया।
67	gemini	रिया को थोड़ा दर्द हुआ और वह उदास होकर चुप हो गई।
68	gemini	दोनों के बीच एक छोटी सी खामोशी छा गई और हवा में फिर से 'छप-छप' की आवाज गूंजने लगी।
69	gemini	श्लोक को महसूस हुआ कि जल्दबाजी में उसने रिया को अनजाने में चोट पहुँचा दी है।
70	gemini	क्या श्लोक को इस छोटी सी बात के लिए रिया से माफी मांगनी चाहिए?
71	gemini	श्लोक ने सोचा कि रिया बहादुर है और वह इस छोटी सी बात को भूल जाएगी।
72	gemini	वह चुप रहा और उसने रिया का हाथ पकड़कर उसे फिर से आगे चलने के लिए कहा।
73	gemini	दोनों भाई-बहन टापू के और अंदर चले गए, जहाँ समुद्र की लहरों की 'छप-छप' आवाज अब और भी साफ सुनाई दे रही थी।
74	gemini	तभी श्लोक ने देखा कि उनके सामने एक बहुत बड़ा और सुंदर झरना है, जिसका पानी दूध जैसा सफेद था।
75	gemini	झरने के पास एक बड़ा सा पत्थर था जिस पर कुछ फल रखे हुए थे, लेकिन वहां एक छोटा सा बंदर बैठा था जो उन फलों की रखवाली कर रहा था।
76	gemini	बंदर श्लोक और रिया को देखकर जोर-जोर से कूदने लगा।
77	gemini	श्लोक को लगा कि अगर वह अभी आगे बढ़ा तो बंदर गुस्सा हो सकता है।
78	gemini	क्या श्लोक को उन फलों को लेने से पहले बंदर के शांत होने का थोड़ा और इंतज़ार करना चाहिए?
79	gemini	श्लोक ने समझदारी दिखाई और वहीं रुक गया। उसने और रिया ने चुपचाप खड़े होकर बंदर को देखा।
80	gemini	बंदर पहले तो उछल-कूद करता रहा, लेकिन धीरे-धीरे वह शांत हो गया और श्लोक को देखकर अपनी पूंछ हिलाने लगा।
81	gemini	श्लोक को लगा कि बंदर उन्हें डरा नहीं रहा, बल्कि उनके साथ खेलना चाहता है।
82	gemini	तभी बंदर ने एक मीठा फल उठाया और उछलकर श्लोक के पैरों के पास रख दिया।
83	gemini	झरने के पानी की 'छप-छप' आवाज के बीच श्लोक और रिया जोर से हंस पड़े।
84	gemini	तभी श्लोक ने देखा कि बंदर उन्हें झरने के पीछे छिपे एक संकरे रास्ते की तरफ इशारा कर रहा है।
85	gemini	वहां से समुद्र की ठंडी हवाएं आ रही थीं, जो बता रही थीं कि आगे कुछ बहुत बड़ा और रोमांचक है।
86	gemini	क्या श्लोक उस बंदर के पीछे-पीछे झरने के पीछे वाले रास्ते पर जाएगा?
87	gemini	श्लोक और रिया बंदर के पीछे-पीछे झरने के पीछे गए, जहाँ उन्होंने समुद्र का एक बहुत ही सुंदर और नीला किनारा देखा।
88	gemini	श्लोक ने अपनी बहन का हाथ पकड़ा और दोनों ने मिलकर उस जादुई समुद्र की लहरों में खूब मस्ती की।
89	gemini	अब रात हो गई है और अगले दिन वे इस नीले पानी में छिपे नए दोस्तों से मिलेंगे। शुभ रात्रि, श्लोक।
90	gemini	ताजी बनी गरम जलेबियों की महक पूरे मोहल्ले में फैली हुई थी।
91	gemini	श्रेयश ने अपनी लाल चादर को गले में लपेटा और एक छोटा सा मास्क पहना।
92	gemini	वह आज अपने घर के आंगन में एक नन्हा सुपरहीरो बना हुआ था।
93	gemini	वह अपनी असली ताकत, यानी दूसरों की मदद करने में विश्वास रखता था।
94	gemini	तभी उसकी नजर पास ही खड़े छोटे गोलू पर पड़ी, जो उदास था और चुपचाप एक कोने में खड़ा था।
95	gemini	गोलू बहुत शरमाता था और सबके साथ खेलने से डरता था।
96	gemini	श्रेयश ने देखा कि वह गोलू भी इस खेल का हिस्सा बनना चाहता है। क्या श्रेयश गोलू को अपने सुपरहीरो खेल में शामिल करेगा?
97	gemini	श्रेयश ने मुस्कुराकर गोलू का हाथ पकड़ा और उसे अपने साथ बुला लिया। गोलू के चेहरे पर एक बड़ी सी चमक आ गई।
98	gemini	अब दोनों दोस्त आंगन में सुपरहीरो बनकर इधर-उधर दौड़ रहे थे।
99	gemini	तभी उन्हें याद आया कि रसोई से गरम-गरम जलेबियों की मीठी खुशबू अब भी आ रही थी।
100	gemini	श्रेयश के पास एक छोटी प्लेट में दो मीठी जलेबियाँ थीं। गोलू उन्हें देखकर ललचा रहा था, पर उसने कुछ कहा नहीं।
101	gemini	सुपरहीरो होने का मतलब सिर्फ ताकत नहीं, बल्कि दूसरों का ख्याल रखना भी होता है। क्या श्रेयश अपनी एक जलेबी गोलू के साथ बाँटेगा?
102	gemini	श्रेयश ने अपनी एक रसीली जलेबी गोलू के हाथ में रख दी।
103	gemini	गोलू की आँखों में खुशी आ गई और दोनों दोस्त मज़े से मीठी जलेबियाँ खाने लगे।
104	gemini	तभी अचानक, खेल-खेल में श्रेयश के हाथ से जलेबी की प्लेट फिसल गई और वह पास रखी एक मिट्टी की छोटी गगरी से जा टकराई।
105	gemini	धाप! गगरी का एक छोटा सा किनारा टूट गया।
106	gemini	आंगन में चारों तरफ वही मीठी खुशबू अब भी फैली थी, लेकिन अब दोनों दोस्त डर गए।
107	gemini	तभी उनकी माँ रसोई से बाहर आईं और उन्होंने टूटी हुई गगरी देखी। उन्होंने पूछा कि यह कैसे हुआ।
108	gemini	गोलू घबराकर चुप हो गया और श्रेयश अपनी लाल चादर में सिमट गया।
109	gemini	क्या श्रेयश माँ को सच बताएगा कि गगरी उससे टकराकर टूटी है?
110	gemini	श्रेयश ने अपनी लाल चादर को ठीक किया और हिम्मत जुटाकर माँ को सब सच बता दिया।
111	gemini	उसने धीरे से कहा कि खेलते समय उससे गलती से गगरी टकरा गई।
112	gemini	माँ ने श्रेयश की ईमानदारी देखी और उनके चेहरे पर एक प्यारी सी मुस्कान आ गई।
113	gemini	उन्होंने कहा कि गलती मानना ही असली सुपरहीरो की पहचान है।
114	gemini	तभी गोलू ने भी धीरे से अपना हाथ बढ़ाया और कहा कि वह भी श्रेयश के साथ था।
115	gemini	आंगन में अब भी जलेबियों की वह मीठी खुशबू तैर रही थी।
116	gemini	माँ ने दोनों बच्चों को गले लगाया और कहा कि अब समय है मिलकर इस टूटी गगरी को साफ करने का।
117	gemini	क्या श्रेयश और गोलू मिलकर आंगन की सफाई में माँ की मदद करेंगे?
118	gemini	श्रेयश और गोलू ने मिलकर फटाफट आंगन की सफाई शुरू कर दी।
119	gemini	श्रेयश ने अपनी लाल चादर को कमर पर बांधा ताकि वह काम करते समय गंदी न हो।
120	gemini	दोनों दोस्त छोटे-छोटे टुकड़ों को चुनकर एक जगह जमा करने लगे। तभी उन्हें याद आया कि उनके पास एक छोटा सा जादू है...
121	gemini	टीम वर्क! दोनों ने मिलकर एक गाना गुनगुनाया और खेल-खेल में सारा काम खत्म कर लिया।
122	gemini	तभी श्रेयश की नजर कोने में रखे अपने रंगों और कागजों पर पड़ी।
123	gemini	उसने सोचा कि क्यों न इस टूटी हुई गगरी को एक नया और सुंदर रूप दिया जाए।
124	gemini	क्या श्रेयश इस गगरी को रंगों से सजाकर एक नया खिलौना बनाएगा?
125	gemini	यह एक उत्तर पूर्व भारतीय लोककथा है। यह लोक कथा उस समय की है जब जानवर बोलते और नाचते थे।
126	gemini	एक बार एक सुस्त पंखों वाला मोर रहता था | लेकिन उसे अपनी लंबी पूंछ पर बहुत गर्व था।
127	gemini	अपनी लंबी लंबी पूंछ के कारण, वह कभी अपने पड़ोसियों के पास नहीं जा सका।
128	gemini	वह केवल बड़े घरों और पैसे वाले लोगों से मिलने जाता था। उसके घमण्ड के कारण उसके पड़ोसी उसे नापसंद करने लगे।
129	gemini	वे पीठ पीछे मोर का मजाक उड़ाते थे। एक दिन उन्होंने उस से मज़ाक करने का करने का फैसला किया।
130	gemini	उन्होंने कहा कि एक बर्ड क्लब बनाया गया है और सभी पक्षियों ने मोर को अपना नेता बनाने के लिए वोट दिया है।
131	gemini	मुखिया को का संगी की यात्रा करने और उसके साथ नीले आकाश में उड़ान भरने का मौका मिलेगा। क- संगी सूर्य की देवी थीं।
132	gemini	मोर बहुत उत्साहित था। मोर ने अपनी यात्रा के लिए उड़ान भरी।
133	gemini	उसके जाने के तुरंत बाद, अन्य पक्षी गपशप करने लगे और उनकी छोटी सी चाल पर हंसने लगे।
134	gemini	का-सांगी अपने महल में अकेली रहती थी। इसलिए, वह अपने स्थान पर एक अतिथि को पाकर बहुत खुश थी।
135	gemini	दिन बीतते गए और मोर पर्याप्त सुविधाओं के साथ एक महान जीवन व्यतीत करता था। धीरे-धीरे उनका अभिमान आसमान पर पहुंच गया।
136	gemini	का संगी अपना अधिक समय मोर के साथ बिताती थी, परिणामस्वरूप वह अपनी गर्मी से पृथ्वी को गले नहीं लगा पाती थी।
137	gemini	धरती ठंडी होने लगी और जंगल के जानवर बीमार और उदास रहने लगे।
138	gemini	हर समय बारिश होने लगी, सब कुछ तबाह हो रहा था और पृथ्वी पर कोई खुशी नहीं बची थी।
139	gemini	सभी जानवरों ने इंसानो से मदद मांगी और इस नतीजे पर पहुंचे कि मोर की वजह से का-संगी को आसमान से अपनी गर्मी बरसाने का समय नहीं मिल रहा है।
140	gemini	इसलिए मोर को वापस धरती पर लाना सभी के लिए जरूरी है।
141	gemini	उन्होंने एक बूढ़ी औरत की मदद से पृथ्वी को बचाने के लिए एक और तरकीब लगाई और मोर को आकर्षित कर वापिस धरती पर आने के लिए मजबूर कर दिया।
142	gemini	मोर की याद में जो आंसू का-संगी ने बहाये, वह मोर के पंखो पर गिरे और रंग बिरंगे निशान छोड़ गए, जो आज भी मोर के पंखो पर देखे जा सकते हैं।
143	gemini	यह एक पौराणिक लोक कथा है। एक समय की बात है, ब्रह्मदत्त नाम का एक बनारस का राजा था।
144	gemini	बोधिसत्व का जन्म ब्रह्मदत्त की प्रमुख रानी के पुत्र के रूप में हुआ था।
145	gemini	नामकरण के दिन ही ब्रह्मदत्त ने 800 ब्राह्मणों की मनोकामना पूरी करी।
146	gemini	उसके बाद ब्रह्मदत्त ने ब्राह्मणों से पुत्र के भाग्य के बारे में पूछा।
147	gemini	ब्राह्मणों ने राजा से कहा कि उसका पुत्र उसके बाद राजा बनेगा और अपनी बुद्धि और पाँच हथियारों से पूरे भारत पर शासन करेगा।
148	gemini	जब बोधिसत्व 16 वर्ष के थे, तब उन्हें अपनी पढ़ाई पूरी करने के लिए कहा गया था।
149	gemini	राजा ने बोधिसत्व को अपने गुरु के लिए गुरु दक्षिणा के रूप में एक हजार मुद्राएं दीं और उन्हें कंधार राज्य भेज दिया, जहां एक बुद्धिमान शिक्षक रहता था।
150	gemini	बोधिसत्व ने अपनी शिक्षा पूरी की, गुरु से उपहार के रूप में पाँच हथियार प्राप्त किए।
151	gemini	उन्होंने अपने गुरु से विदा ली और तक्षिला को छोड़ दिया और अपने पाँच हथियारों के साथ बनारस के लिए रवाना हो गए।
152	gemini	रास्ते में, उनका सामना एक शक्तिशाली राक्षस से हुआ, लेकिन बोधिसत्व में पर्याप्त आत्मविश्वास था और वे घबराए नहीं।
153	gemini	उसके आत्मविश्वास और निडर रवैये को देखकर राक्षस ने उसे जाने दिया।
154	gemini	वन छोड़ने से पहले, बोधिसत्व ने राक्षस को भक्ति के मार्ग पर चलने और क्रूरता के मार्ग को छोड़ने का आदेश दिया।
155	gemini	कुछ लोग अभी भी जंगल के बाहर इंतजार कर रहे थे। बोधिसत्व ने उन्हें सारी बातें बताईं और फिर बनारस की ओर चल पड़े।
156	gemini	आगे जाकर जब बोधिसत्व राजा बना तो उसने बड़ी ईमानदारी और बुद्धि से लोगों की सेवा की और देश की सेवा की।
157	gemini	एक स्थान पर जीर्णधन नाम का बनिये का लड़का रहता था । धन की खोज में उसने परदेश जाने का विचार किया ।
158	gemini	उसके घर में विशेष सम्पत्ति तो थी नहीं, केवल एक मन भर भारी लोहे की तराजू थी ।
159	gemini	उसे एक महाजन के पास धरोहर रखकर वह विदेश चला गया ।
160	gemini	विदेश से वापिस आने के बाद उसने महाजन से अपनी धरोहर वापिस मांगी ।
161	gemini	महाजन ने कहा----"वह लोहे की तराजू तो चूहों ने खा ली ।" बनिये का लड़का समझ गया कि वह उस तराजू को देना नहीं चाहता ।
162	gemini	किन्तु अब उपाय कोई नहीं था । कुछ देर सोचकर उसने कहा---"कोई चिन्ता नहीं ।
163	gemini	चुहों ने खा डाली तो चूहों का दोष है, तुम्हारा नहीं ।
164	gemini	तुम इसकी चिन्ता न करो ।" थोड़ी देर बाद उसने महाजन से कहा----"मित्र ! मैं नदी पर स्नान के लिए जा रहा हूँ ।
165	gemini	तुम अपने पुत्र धनदेव को मेरे साथ भेज दो, वह भी नहा आयेगा ।" महाजन बनिये की सज्जनता से बहुत प्रभावित था,
166	gemini	इसलिए उसने तत्काल अपने पुत्र को उनके साथ नदी-स्नान के लिए भेज दिया ।
167	gemini	बनिये ने महाजन के पुत्र को वहाँ से कुछ दूर ले जाकर एक गुफा में बन्द कर दिया ।
168	gemini	गुफा के द्वार पर बड़ी सी शिला रख दी, जिससे वह बचकर भाग न पाये ।
169	gemini	उसे वहाँ बंद करके जब वह महाजन के घर आया तो महाजन ने पूछा---"मेरा लड़का भी तो तेरे साथ स्नान के लिए गया था,
170	gemini	वह कहाँ है ?" बनिये ने कहा ----"उसे चील उठा कर ले गई है ।" महाजन ---"यह कैसे हो सकता है ?
171	gemini	कभी चील भी इतने बड़े बच्चे को उठा कर ले जा सकती है ?" बनिया---"भले आदमी !
172	gemini	यदि चील बच्चे को उठाकर नहीं ले जा सकती तो चूहे भी मन भर भारी तराजू को नहीं खा सकते ।
173	gemini	तुझे बच्चा चाहिए तो तराजू निकाल कर दे दे ।" इसी तरह विवाद करते हुए दोनों राजमहल में पहुँचे ।
174	gemini	वहाँ न्यायाधिकारी के सामने महाजन ने अपनी दुःख-कथा सुनाते हुए कहा कि, "इस बनिये ने मेरा लड़का चुरा लिया है ।" धर्माधिकारी ने बनिये से कहा ---"इसका लड़का इसे दे दो ।
175	gemini	बनिया बोल----"महाराज ! उसे तो चील उठा ले गई है ।" धर्माधिकारी ----"क्या कभी चील भी बच्चे को उठा ले जा सकती है ?" बनिया ----"प्रभु !
176	gemini	यदि मन भर भारी तराजू को चूहे खा सकते हैं तो चील भी बच्चे को उठाकर ले जा सकती है ।" धर्माधिकारी के प्रश्‍न पर बनिये ने अपनी तराजू का सब वृत्तान्त कह सुनाया ।
177	gemini	सीख : जैसे को तैसा
178	gemini	किसी तालाब में कम्बुग्रीव नामक एक कछुआ रहता था। तालाब के किनारे रहने वाले संकट और विकट नामक हंस से उसकी गहरी दोस्ती थी।
179	gemini	तालाब के किनारे तीनों हर रोज खूब बातें करते और शाम होने पर अपने-अपने घरों को चल देते।
180	gemini	एक वर्ष उस प्रदेश में जरा भी बारिश नहीं हुई। धीरे-धीरे वह तालाब भी सूखने लगा। अब हंसों को कछुए की चिंता होने लगी।
181	gemini	जब उन्होंने अपनी चिंता कछुए से कही तो कछुए ने उन्हें चिंता न करने को कहा। उसने हंसों को एक युक्ति बताई।
182	gemini	उसने उनसे कहा कि सबसे पहले किसी पानी से लबालब तालाब की खोज करें फिर एक लकड़ी के टुकड़े से लटकाकर उसे उस तालाब में ले चलें।
183	gemini	उसकी बात सुनकर हंसों ने कहा कि वह तो ठीक है पर उड़ान के दौरान उसे अपना मुंह बंद रखना होगा।
184	gemini	कछुए ने उन्हें भरोसा दिलाया कि वह किसी भी हालत में अपना मुंह नहीं खोलेगा।कछुए ने लकड़ी के टुकड़े को अपने दांत से पकड़ा फिर दोनो हंस उसे लेकर उड़ चले।
185	gemini	रास्ते में नगर के लोगों ने जब देखा कि एक कछुआ आकाश में उड़ा जा रहा है तो वे आश्चर्य से चिल्लाने लगे।
186	gemini	लोगों को अपनी तरफ चिल्लाते हुए देखकर कछुए से रहा नहीं गया। वह अपना वादा भूल गया।
187	gemini	उसने जैसे ही कुछ कहने के लिए अपना मुंह खोला कि आकाश से गिर पड़ा।
188	gemini	ऊंचाई बहुत ज्यादा होने के कारण वह चोट झेल नहीं पाया और अपना दम तोड़ दिया।
189	gemini	सीख : बुद्धिमान भी अगर अपनी चंचलता पर काबू नहीं रख पाता है तो परिणाम बुरा होता है।
190	gemini	एक जंगल में एक पेड़ पर गौरैया का घोंसला था। एक दिन कड़ाके की ठंड पड़ रही थी।
191	gemini	ठंड से कांपते हुए तीन चार बंदरो ने उसी पेड़ के नीचे आश्रय लिया।
192	gemini	एक बंदर बोला “कहीं से आग तापने को मिले तो ठंड दूर हो सकती हैं।” दूसरे बंदर ने सुझाया “देखो, यहां कितनी सूखी पत्तियां गिरी पड़ी हैं।
193	gemini	इन्हें इकट्ठा कर हम ढेर लगाते हैं और फिर उसे सुलगाने का उपाय सोचते हैं।” बंदरों ने सूखी पत्तियों का ढेर बनाया और फिर गोल दायरे में बैठकर सोचने लगे कि ढेर को कैसे सुलगाया जाए।
